PRECINCT NAME,Vote Method,"Public Count -
Total","Registration -
Total","Turnout -
Total","Public Count - 
Dem","Registration - 
Dem","Turnout - 
Dem","Public Count - 
Rep","Registration - 
Rep","Turnout - 
Rep","Public Count - 
Non","Registration - 
Non","Turnout - 
Non",Ward,Cong,"St
Sen","St
Rep","
Council","JUDGE OF THE SUPERIOR COURT
DEM - BRANDON NEUMAN","JUDGE OF THE SUPERIOR COURT
DEM - Write-in","JUDGE OF THE COMMONWEALTH COURT
DEM - STELLA TSAI","JUDGE OF THE COMMONWEALTH COURT
DEM - Write-in","JUDGE OF THE COURT OF COMMON PLEAS
DEM - WILL BRAVEMAN","JUDGE OF THE COURT OF COMMON PLEAS
DEM - LEON A KING II","JUDGE OF THE COURT OF COMMON PLEAS
DEM - LARRY FARNESE","JUDGE OF THE COURT OF COMMON PLEAS
DEM - BRIAN KISIELEWSKI","JUDGE OF THE COURT OF COMMON PLEAS
DEM - IRINA EHRLICH","JUDGE OF THE COURT OF COMMON PLEAS
DEM - ANTHONY STEFANSKI","JUDGE OF THE COURT OF COMMON PLEAS
DEM - DEBORAH WATSON-STOKES","JUDGE OF THE COURT OF COMMON PLEAS
DEM - SARAH JONES","JUDGE OF THE COURT OF COMMON PLEAS
DEM - KIA GHEE","JUDGE OF THE COURT OF COMMON PLEAS
DEM - TANIESHA HENRY","JUDGE OF THE COURT OF COMMON PLEAS
DEM - Write-in","JUDGE OF THE MUNICIPAL COURT
DEM - SHERRIE COHEN","JUDGE OF THE MUNICIPAL COURT
DEM - AMANDA DAVIDSON","JUDGE OF THE MUNICIPAL COURT
DEM - CORTEZ PATTON","JUDGE OF THE MUNICIPAL COURT
DEM - QAWI ABDUL-RAHMAN","JUDGE OF THE MUNICIPAL COURT
DEM - SHAWN PAGE","JUDGE OF THE MUNICIPAL COURT
DEM - Write-in","DISTRICT ATTORNEY
DEM - PAT DUGAN","DISTRICT ATTORNEY
DEM - LARRY KRASNER","DISTRICT ATTORNEY
DEM - Write-in","CITY CONTROLLER
DEM - CHRISTY BRADY","CITY CONTROLLER
DEM - Write-in","JUDGE OF THE SUPERIOR COURT
REP - MARIA BATTISTA","JUDGE OF THE SUPERIOR COURT
REP - ANN MARIE WHEATCRAFT","JUDGE OF THE SUPERIOR COURT
REP - Write-in","JUDGE OF THE COMMONWEALTH COURT
REP - MATT WOLFORD","JUDGE OF THE COMMONWEALTH COURT
REP - JOSH PRINCE","JUDGE OF THE COMMONWEALTH COURT
REP - Write-in","JUDGE OF THE COURT OF COMMON PLEAS
REP - Write-in","JUDGE OF THE MUNICIPAL COURT
REP - Write-in","DISTRICT ATTORNEY
REP - Write-in","CITY CONTROLLER
REP - ARI PATRINOS","CITY CONTROLLER
REP - Write-in",QUESTION #1 - YES,QUESTION #1 - NO,QUESTION #2 - YES,QUESTION #2 - NO,QUESTION #3 - YES,QUESTION #3 - NO
01-01,Election Day,119,512,23.24%,112,379,29.55%,5,73,6.85%,2,60,3.33%,01,3,1,184,1,98,0,99,0,98,82,33,90,94,22,88,98,96,84,0,21,98,87,12,3,0,17,93,0,100,0,1,2,0,3,1,0,1,0,4,3,0,105,9,97,17,103,12
01-01,Mail Votes,38,512,7.42%,36,379,9.50%,1,73,1.37%,1,60,1.67%,01,3,1,184,1,28,0,30,0,31,28,17,27,30,14,25,29,25,18,0,10,28,20,0,3,0,13,23,0,27,0,0,1,0,0,0,0,0,0,0,1,0,33,2,30,5,28,7
01-01,Provisional,0,512,0.00%,0,379,0.00%,0,73,0.00%,0,60,0.00%,01,3,1,184,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01-02,Election Day,157,662,23.72%,152,504,30.16%,2,74,2.70%,3,84,3.57%,01,3,1,184,1,133,1,140,0,141,114,58,132,129,47,119,130,124,115,0,44,128,121,5,9,0,24,125,0,131,0,1,1,0,1,1,0,0,0,1,1,0,145,10,140,11,143,8
01-02,Mail Votes,49,662,7.40%,45,504,8.93%,2,74,2.70%,2,84,2.38%,01,3,1,184,1,41,0,40,0,40,35,20,38,35,18,35,36,36,24,0,13,38,24,2,8,0,15,29,0,41,0,1,1,0,1,1,0,0,0,1,2,0,41,7,39,9,40,8
01-02,Provisional,0,662,0.00%,0,504,0.00%,0,74,0.00%,0,84,0.00%,01,3,1,184,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01-03,Election Day,170,743,22.88%,150,534,28.09%,15,115,13.04%,5,94,5.32%,01,3,1,184,1,123,2,128,1,130,83,67,109,123,43,99,123,118,94,2,58,125,101,6,9,0,30,117,0,120,2,7,6,0,8,4,0,3,0,7,11,1,133,28,125,35,125,37
01-03,Mail Votes,54,743,7.27%,50,534,9.36%,4,115,3.48%,0,94,0.00%,01,3,1,184,1,41,2,42,1,40,34,34,37,41,26,37,40,36,16,1,13,46,27,1,8,0,17,31,0,40,1,4,0,0,2,2,0,0,0,0,3,0,44,8,33,19,42,10
01-03,Provisional,3,743,0.40%,3,534,0.56%,0,115,0.00%,0,94,0.00%,01,3,1,184,1,3,0,3,0,3,1,1,2,2,0,2,2,2,2,0,1,3,3,0,0,0,1,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,3,0
01-04,Election Day,135,639,21.13%,124,463,26.78%,8,91,8.79%,3,85,3.53%,01,3,1,184,1,107,0,113,0,107,83,44,100,105,48,89,102,103,80,2,41,106,81,8,8,2,26,98,0,110,0,2,5,0,2,6,0,1,0,3,7,0,115,16,104,24,109,20
